"invoice_id","first_name","last_name","total","diferencia_total"
251,Eduardo,Martins,0.99,-4.95
372,Eduardo,Martins,1.98,0.99
383,Eduardo,Martins,13.86,11.88
57,Alexandre,Rocha,1.98,
68,Alexandre,Rocha,13.86,11.88
123,Alexandre,Rocha,8.91,-4.95
252,Alexandre,Rocha,1.98,-6.93
275,Alexandre,Rocha,3.96,1.98
297,Alexandre,Rocha,5.94,1.98
349,Alexandre,Rocha,0.99,-4.95
34,Roberto,Almeida,0.99,
155,Roberto,Almeida,1.98,0.99
166,Roberto,Almeida,13.86,11.88
221,Roberto,Almeida,8.91,-4.95
350,Roberto,Almeida,1.98,-6.93
373,Roberto,Almeida,3.96,1.98
395,Roberto,Almeida,5.94,1.98
35,Fernanda,Ramos,1.98,
58,Fernanda,Ramos,3.96,1.98
80,Fernanda,Ramos,5.94,1.98
132,Fernanda,Ramos,0.99,-4.95
253,Fernanda,Ramos,1.98,0.99
264,Fernanda,Ramos,13.86,11.88
319,Fernanda,Ramos,8.91,-4.95
4,Mark,Philips,8.91,
133,Mark,Philips,1.98,-6.93
156,Mark,Philips,3.96,1.98
178,Mark,Philips,5.94,1.98
230,Mark,Philips,0.99,-4.95
351,Mark,Philips,1.98,0.99
362,Mark,Philips,13.86,11.88
36,Jennifer,Peterson,1.98,
47,Jennifer,Peterson,13.86,11.88
102,Jennifer,Peterson,9.91,-3.95
231,Jennifer,Peterson,1.98,-7.93
254,Jennifer,Peterson,3.96,1.98
276,Jennifer,Peterson,5.94,1.98
328,Jennifer,Peterson,0.99,-4.95
13,Frank,Harris,0.99,
134,Frank,Harris,1.98,0.99
145,Frank,Harris,13.86,11.88
200,Frank,Harris,8.91,-4.95
329,Frank,Harris,1.98,-6.93
352,Frank,Harris,3.96,1.98
374,Frank,Harris,5.94,1.98
14,Jack,Smith,1.98,
37,Jack,Smith,3.96,1.98
59,Jack,Smith,5.94,1.98
111,Jack,Smith,0.99,-4.95
232,Jack,Smith,1.98,0.99
243,Jack,Smith,13.86,11.88
298,Jack,Smith,10.91,-2.95
112,Michelle,Brooks,1.98,
135,Michelle,Brooks,3.96,1.98
157,Michelle,Brooks,5.94,1.98
209,Michelle,Brooks,0.99,-4.95
330,Michelle,Brooks,1.98,0.99
341,Michelle,Brooks,13.86,11.88
396,Michelle,Brooks,8.91,-4.95
15,Tim,Goyer,1.98,
26,Tim,Goyer,13.86,11.88
81,Tim,Goyer,8.91,-4.95
210,Tim,Goyer,1.98,-6.93
233,Tim,Goyer,3.96,1.98
255,Tim,Goyer,5.94,1.98
307,Tim,Goyer,1.99,-3.95
113,Dan,Miller,1.98,
124,Dan,Miller,13.86,11.88
179,Dan,Miller,8.91,-4.95
308,Dan,Miller,3.98,-4.93
331,Dan,Miller,3.96,-0.02
353,Dan,Miller,5.94,1.98
405,Dan,Miller,0.99,-4.95
16,Kathy,Chase,3.96,
38,Kathy,Chase,5.94,1.98
90,Kathy,Chase,0.99,-4.95
211,Kathy,Chase,1.98,0.99
222,Kathy,Chase,13.86,11.88
277,Kathy,Chase,8.91,-4.95
406,Kathy,Chase,1.98,-6.93
91,Heather,Leacock,1.98,
114,Heather,Leacock,3.96,1.98
136,Heather,Leacock,5.94,1.98
188,Heather,Leacock,0.99,-4.95
309,Heather,Leacock,3.98,2.99
320,Heather,Leacock,13.86,9.88
375,Heather,Leacock,8.91,-4.95
5,John,Gordon,13.86,
60,John,Gordon,8.91,-4.95
189,John,Gordon,1.98,-6.93
212,John,Gordon,3.96,1.98
234,John,Gordon,5.94,1.98
286,John,Gordon,0.99,-4.95
407,John,Gordon,1.98,0.99
92,Frank,Ralston,1.98,
103,Frank,Ralston,15.86,13.88
158,Frank,Ralston,8.91,-6.95
287,Frank,Ralston,1.98,-6.93
310,Frank,Ralston,7.96,5.98
332,Frank,Ralston,5.94,-2.02
384,Frank,Ralston,0.99,-4.95
17,Victor,Stevens,5.94,
69,Victor,Stevens,0.99,-4.95
190,Victor,Stevens,1.98,0.99
201,Victor,Stevens,18.86,16.88
256,Victor,Stevens,8.91,-9.95
385,Victor,Stevens,1.98,-6.93
408,Victor,Stevens,3.96,1.98
70,Richard,Cunningham,1.98,
93,Richard,Cunningham,3.96,1.98
115,Richard,Cunningham,5.94,1.98
167,Richard,Cunningham,0.99,-4.95
288,Richard,Cunningham,1.98,0.99
299,Richard,Cunningham,23.86,21.88
354,Richard,Cunningham,8.91,-14.95
39,Patrick,Gray,8.91,
168,Patrick,Gray,1.98,-6.93
191,Patrick,Gray,3.96,1.98
213,Patrick,Gray,5.94,1.98
265,Patrick,Gray,0.99,-4.95
386,Patrick,Gray,1.98,0.99
397,Patrick,Gray,13.86,11.88
71,Julia,Barnett,1.98,
82,Julia,Barnett,13.86,11.88
137,Julia,Barnett,8.91,-4.95
266,Julia,Barnett,1.98,-6.93
289,Julia,Barnett,3.96,1.98
311,Julia,Barnett,11.94,7.98
363,Julia,Barnett,0.99,-10.95
48,Robert,Brown,0.99,
169,Robert,Brown,1.98,0.99
180,Robert,Brown,13.86,11.88
235,Robert,Brown,8.91,-4.95
364,Robert,Brown,1.98,-6.93
387,Robert,Brown,3.96,1.98
409,Robert,Brown,5.94,1.98
49,Edward,Francis,1.98,
72,Edward,Francis,3.96,1.98
94,Edward,Francis,5.94,1.98
146,Edward,Francis,0.99,-4.95
267,Edward,Francis,1.98,0.99
278,Edward,Francis,13.86,11.88
333,Edward,Francis,8.91,-4.95
18,Martha,Silk,8.91,
147,Martha,Silk,1.98,-6.93
170,Martha,Silk,3.96,1.98
192,Martha,Silk,5.94,1.98
244,Martha,Silk,0.99,-4.95
365,Martha,Silk,1.98,0.99
376,Martha,Silk,13.86,11.88
50,Aaron,Mitchell,1.98,
61,Aaron,Mitchell,13.86,11.88
116,Aaron,Mitchell,8.91,-4.95
245,Aaron,Mitchell,1.98,-6.93
268,Aaron,Mitchell,3.96,1.98
290,Aaron,Mitchell,5.94,1.98
342,Aaron,Mitchell,0.99,-4.95
27,Ellie,Sullivan,0.99,
148,Ellie,Sullivan,1.98,0.99
159,Ellie,Sullivan,13.86,11.88
214,Ellie,Sullivan,8.91,-4.95
343,Ellie,Sullivan,1.98,-6.93
366,Ellie,Sullivan,3.96,1.98
388,Ellie,Sullivan,5.94,1.98
28,João,Fernandes,1.98,
51,João,Fernandes,3.96,1.98
73,João,Fernandes,5.94,1.98
125,João,Fernandes,0.99,-4.95
246,João,Fernandes,1.98,0.99
257,João,Fernandes,13.86,11.88
312,João,Fernandes,10.91,-2.95
126,Madalena,Sampaio,1.98,
149,Madalena,Sampaio,3.96,1.98
171,Madalena,Sampaio,5.94,1.98
223,Madalena,Sampaio,0.99,-4.95
344,Madalena,Sampaio,1.98,0.99
355,Madalena,Sampaio,13.86,11.88
410,Madalena,Sampaio,8.91,-4.95
29,Hannah,Schneider,1.98,
40,Hannah,Schneider,13.86,11.88
95,Hannah,Schneider,8.91,-4.95
224,Hannah,Schneider,1.98,-6.93
247,Hannah,Schneider,3.96,1.98
269,Hannah,Schneider,5.94,1.98
321,Hannah,Schneider,0.99,-4.95
6,Fynn,Zimmermann,0.99,
127,Fynn,Zimmermann,1.98,0.99
138,Fynn,Zimmermann,13.86,11.88
193,Fynn,Zimmermann,14.91,1.05
322,Fynn,Zimmermann,1.98,-12.93
345,Fynn,Zimmermann,3.96,1.98
367,Fynn,Zimmermann,5.94,1.98
7,Niklas,Schröder,1.98,
30,Niklas,Schröder,3.96,1.98
52,Niklas,Schröder,5.94,1.98
104,Niklas,Schröder,0.99,-4.95
225,Niklas,Schröder,1.98,0.99
236,Niklas,Schröder,13.86,11.88
291,Niklas,Schröder,8.91,-4.95
105,Camille,Bernard,1.98,
128,Camille,Bernard,3.96,1.98
150,Camille,Bernard,5.94,1.98
202,Camille,Bernard,1.99,-3.95
323,Camille,Bernard,1.98,-0.01
334,Camille,Bernard,13.86,11.88
389,Camille,Bernard,8.91,-4.95
8,Dominique,Lefebvre,1.98,
19,Dominique,Lefebvre,13.86,11.88
74,Dominique,Lefebvre,8.91,-4.95
203,Dominique,Lefebvre,2.98,-5.93
226,Dominique,Lefebvre,3.96,0.98
248,Dominique,Lefebvre,5.94,1.98
300,Dominique,Lefebvre,0.99,-4.95
106,Marc,Dubois,1.98,
117,Marc,Dubois,13.86,11.88
172,Marc,Dubois,8.91,-4.95
301,Marc,Dubois,1.98,-6.93
324,Marc,Dubois,3.96,1.98
346,Marc,Dubois,5.94,1.98
398,Marc,Dubois,0.99,-4.95
9,Wyatt,Girard,3.96,
31,Wyatt,Girard,5.94,1.98
83,Wyatt,Girard,0.99,-4.95
204,Wyatt,Girard,3.98,2.99
215,Wyatt,Girard,13.86,9.88
270,Wyatt,Girard,8.91,-4.95
399,Wyatt,Girard,1.98,-6.93
84,Isabelle,Mercier,1.98,
107,Isabelle,Mercier,3.96,1.98
129,Isabelle,Mercier,5.94,1.98
181,Isabelle,Mercier,0.99,-4.95
302,Isabelle,Mercier,1.98,0.99
313,Isabelle,Mercier,16.86,14.88
368,Isabelle,Mercier,8.91,-7.95
53,Terhi,Hämäläinen,8.91,
182,Terhi,Hämäläinen,1.98,-6.93
205,Terhi,Hämäläinen,7.96,5.98
227,Terhi,Hämäläinen,5.94,-2.02
279,Terhi,Hämäläinen,0.99,-4.95
400,Terhi,Hämäläinen,1.98,0.99
411,Terhi,Hämäläinen,13.86,11.88
85,Ladislav,Kovács,1.98,
96,Ladislav,Kovács,21.86,19.88
151,Ladislav,Kovács,8.91,-12.95
280,Ladislav,Kovács,1.98,-6.93
303,Ladislav,Kovács,3.96,1.98
325,Ladislav,Kovács,5.94,1.98
377,Ladislav,Kovács,0.99,-4.95
10,Hugh,O'Reilly,5.94,
62,Hugh,O'Reilly,0.99,-4.95
183,Hugh,O'Reilly,1.98,0.99
194,Hugh,O'Reilly,21.86,19.88
249,Hugh,O'Reilly,8.91,-12.95
378,Hugh,O'Reilly,1.98,-6.93
401,Hugh,O'Reilly,3.96,1.98
63,Lucas,Mancini,1.98,
86,Lucas,Mancini,3.96,1.98
108,Lucas,Mancini,5.94,1.98
160,Lucas,Mancini,0.99,-4.95
281,Lucas,Mancini,1.98,0.99
292,Lucas,Mancini,13.86,11.88
347,Lucas,Mancini,8.91,-4.95
32,Johannes,Van der Berg,8.91,
161,Johannes,Van der Berg,1.98,-6.93
184,Johannes,Van der Berg,3.96,1.98
206,Johannes,Van der Berg,8.94,4.98
258,Johannes,Van der Berg,0.99,-7.95
379,Johannes,Van der Berg,1.98,0.99
390,Johannes,Van der Berg,13.86,11.88
64,Stanislaw,Wójcik,1.98,
75,Stanislaw,Wójcik,13.86,11.88
130,Stanislaw,Wójcik,8.91,-4.95
259,Stanislaw,Wójcik,1.98,-6.93
282,Stanislaw,Wójcik,3.96,1.98
304,Stanislaw,Wójcik,5.94,1.98
356,Stanislaw,Wójcik,0.99,-4.95
41,Enrique,Muñoz,0.99,
162,Enrique,Muñoz,1.98,0.99
173,Enrique,Muñoz,13.86,11.88
228,Enrique,Muñoz,8.91,-4.95
357,Enrique,Muñoz,1.98,-6.93
380,Enrique,Muñoz,3.96,1.98
402,Enrique,Muñoz,5.94,1.98
42,Joakim,Johansson,1.98,
65,Joakim,Johansson,3.96,1.98
87,Joakim,Johansson,6.94,2.98
139,Joakim,Johansson,0.99,-5.95
260,Joakim,Johansson,1.98,0.99
271,Joakim,Johansson,13.86,11.88
326,Joakim,Johansson,8.91,-4.95
11,Emma,Jones,8.91,
140,Emma,Jones,1.98,-6.93
163,Emma,Jones,3.96,1.98
185,Emma,Jones,5.94,1.98
237,Emma,Jones,0.99,-4.95
358,Emma,Jones,1.98,0.99
369,Emma,Jones,13.86,11.88
43,Phil,Hughes,1.98,
54,Phil,Hughes,13.86,11.88
109,Phil,Hughes,8.91,-4.95
238,Phil,Hughes,1.98,-6.93
261,Phil,Hughes,3.96,1.98
283,Phil,Hughes,5.94,1.98
335,Phil,Hughes,0.99,-4.95
20,Steve,Murray,0.99,
141,Steve,Murray,1.98,0.99
152,Steve,Murray,13.86,11.88
207,Steve,Murray,8.91,-4.95
336,Steve,Murray,1.98,-6.93
359,Steve,Murray,3.96,1.98
381,Steve,Murray,5.94,1.98
21,Mark,Taylor,1.98,
44,Mark,Taylor,3.96,1.98
66,Mark,Taylor,5.94,1.98
118,Mark,Taylor,0.99,-4.95
239,Mark,Taylor,1.98,0.99
250,Mark,Taylor,13.86,11.88
305,Mark,Taylor,8.91,-4.95
119,Diego,Gutiérrez,1.98,
142,Diego,Gutiérrez,3.96,1.98
164,Diego,Gutiérrez,5.94,1.98
216,Diego,Gutiérrez,0.99,-4.95
337,Diego,Gutiérrez,1.98,0.99
348,Diego,Gutiérrez,13.86,11.88
403,Diego,Gutiérrez,8.91,-4.95
22,Luis,Rojas,1.98,
33,Luis,Rojas,13.86,11.88
88,Luis,Rojas,17.91,4.05
217,Luis,Rojas,1.98,-15.93
240,Luis,Rojas,3.96,1.98
262,Luis,Rojas,5.94,1.98
314,Luis,Rojas,0.99,-4.95
120,Manoj,Pareek,1.98,
131,Manoj,Pareek,13.86,11.88
186,Manoj,Pareek,8.91,-4.95
315,Manoj,Pareek,1.98,-6.93
338,Manoj,Pareek,3.96,1.98
360,Manoj,Pareek,5.94,1.98
412,Manoj,Pareek,1.99,-3.95
23,Puja,Srivastava,3.96,
45,Puja,Srivastava,5.94,1.98
97,Puja,Srivastava,1.99,-3.95
218,Puja,Srivastava,1.98,-0.01
229,Puja,Srivastava,13.86,11.88
284,Puja,Srivastava,8.91,-4.95
